text,predicted_entities
"The sample of LIGHTWORK we obtained includes eight hardcoded IEC-104 information object addresses ( IOA ) , which typically correlate with input or output data elements on a device and may correspond to power line switches or circuit breakers in an RTU or relay configuration .","('O', 'I-ATTACK_PATTERN', 'B-THREAT_ACTOR', 'I-THREAT_ACTOR', 'B-ATTACK_TOOL', 'B-OBSERVED_DATA', 'I-OBSERVED_DATA')"
Persistent Internal Server Requests An Advanced Persistent Threat APT may occur internally following a successful delivery of a malicious payload .,"('O', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-VICTIM_IDENTITY', 'B-ATTACK_TOOL', 'B-ATTACK_MOTIVATION')"
"Most recently , the Threat Hunter Team in Symantec , part of Broadcom , discovered Budworm using an updated version of one of its key tools to target a Middle Eastern telecommunications organization and an Asian government .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'I-GENERAL_IDENTITY', 'I-THREAT_ACTOR', 'B-IMPACT', 'I-IMPACT', 'B-ATTACK_TOOL', 'B-CAMPAIGN')"
Further analyses of these similarities are available via Mandiant Advantage .,"('O', 'B-GENERAL_IDENTITY', 'I-GENERAL_IDENTITY')"
Mandiant reviewed the Telegram channels of KillNet and its affiliates and captured counts of claimed attacks that included checkhost links to corroborate actor statements .,"('O', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR', 'B-INTRUSION_SET', 'I-INTRUSION_SET', 'B-CAMPAIGN')"
We observed limited instances of Russia - affiliated domains being targeted .,"('O', 'B-GENERAL_IDENTITY', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'I-OBSERVED_DATA')"
"The US Justice Department thinks he 's been deploying LockBit ransomware on victim networks both in the States and overseas , with the investigation having run from August 2020 through March 2023 .","('O', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'B-MALWARE', 'I-GENERAL_IDENTITY', 'I-MALWARE', 'B-LOCATION')"
Seven of the vulnerabilities included in today ’s Vulnerability Roundup have a CVSS severity score of 9.8 out of a possible 10 .,"('O', 'B-GENERAL_IDENTITY', 'B-VULNERABILITY', 'I-VULNERABILITY', 'I-GENERAL_IDENTITY')"
"To identify attempted exploitation requests , organizations will need to rely on web application firewalls ( WAF ) or other network appliances that record HTTP / S requests directed toward the NetScaler ADC or Gateway appliances .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-INFRASTRUCTURE', 'B-GENERAL_TOOL', 'B-COURSE_OF_ACTION', 'I-COURSE_OF_ACTION')"
"The file c018c54eff8fd0b9be50b5d419d80f21 ( r3_iec104_control.py ) imports the "" iec104_mssql_lib "" module , which is contained within the extracted contents as adfa40d44a58e1bc909abca444f7f616 ( iec104_mssql_lib.pyc ): 2b86adb6afdfa9216ef8ec2ff4fd2558 ( iec104_mssql_lib.py ) implements PIEHOP ’s primary capabilities and contains many developer - supplied comments for the included code .","('O', 'B-MALWARE_ANALYSIS', 'I-MALWARE_ANALYSIS', 'B-MALWARE', 'I-MALWARE', 'B-OBSERVED_DATA', 'I-OBSERVED_DATA')"
"Both operations have suspected ties to financially motivated DPRK actors , suggesting that DPRK operators are implementing supply chain TTPs to target select entities as part of increased efforts to target cryptocurrency and fintech - related assets .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-THREAT_ACTOR', 'B-INTRUSION_SET', 'I-INTRUSION_SET', 'B-VICTIM_IDENTITY', 'I-THREAT_ACTOR', 'B-ATTACK_MOTIVATION', 'I-ATTACK_MOTIVATION')"
Another problem is that organizations are likely already affected by malware .,"('O', 'B-VICTIM_IDENTITY', 'B-MALWARE', 'I-MALWARE')"
The discovery of COSMICENERGY illustrates that the barriers to entry for developing offensive OT capabilities are lowering as actors leverage knowledge from prior attacks to develop new malware .,"('O', 'B-ATTACK_PATTERN', 'B-THREAT_ACTOR', 'B-MALWARE', 'I-THREAT_ACTOR')"
The ransomware attempts to stop multiple services on the infected computer before it begins encrypting files .,"('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-MALWARE')"
We observed the same efforts in our analysis of a series of documents detailing project requirements to enhance Russian offensive cyber capabilities .,"('O', 'B-GENERAL_IDENTITY', 'B-CAMPAIGN', 'B-ATTACK_RESOURCE_LEVEL', 'I-ATTACK_RESOURCE_LEVEL')"
"COSMICENERGY lacks discovery capabilities , which implies that to successfully execute an attack the malware operator would need to perform some internal reconnaissance to obtain environment information , such as MSSQL server IP addresses , MSSQL credentials , and target IEC-104 device IP addresses .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-THREAT_ACTOR', 'B-MALWARE', 'I-THREAT_ACTOR', 'B-ATTACK_SOPHISTICATION_LEVEL', 'I-ATTACK_SOPHISTICATION_LEVEL')"
"In each case , CrowdStrike reviewed the relevant logs and determined there was no evidence of exploitation of CVE-2022 - 41040 for initial access .","('O', 'B-GENERAL_IDENTITY', 'B-VULNERABILITY', 'I-VULNERABILITY', 'B-CAMPAIGN')"
"Based on reporting from trusted partners , UNC4899 likely corresponds to TraderTraitor , a financially motivated DPRK threat group that primarily targets blockchain - related companies .","('O', 'B-GENERAL_IDENTITY', 'B-COURSE_OF_ACTION', 'I-COURSE_OF_ACTION', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'I-THREAT_ACTOR', 'B-ATTACK_MOTIVATION', 'I-ATTACK_MOTIVATION')"
That piece explored how Biderman — who is Jewish — had become the target of concerted harassment campaigns by anti - Semitic and far - right groups online in the months leading up to the hack .,"('O', 'B-GENERAL_IDENTITY', 'B-VICTIM_IDENTITY', 'I-GENERAL_IDENTITY')"
"None : While OT - oriented malware families can be purpose built for a particular target environment , malware that takes advantage of insecure by design OT protocols , such as LIGHTWORK ’s abuse of the IEC-104 protocol , can be modified and employed multiple times to target multiple victims .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-VULNERABILITY', 'I-VULNERABILITY', 'B-MALWARE', 'I-MALWARE', 'B-IMPACT', 'I-IMPACT', 'B-CAMPAIGN', 'I-CAMPAIGN')"
"Several issues in Foxit PDF reader could lead to arbitrary code execution Foxit PDF Reader is one of the most popular PDF readers on the market , offering many similar features to Adobe Acrobat .","('O', 'B-GENERAL_IDENTITY', 'B-GENERAL_TOOL', 'I-GENERAL_TOOL', 'I-GENERAL_IDENTITY', 'B-IMPACT', 'I-IMPACT')"
"We note separately that we have previously observed limited other instances of KillNet claiming Russian targets , such as high - profile Russian individuals opposed to the war .","('O', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY', 'B-CAMPAIGN')"
"The possibilities are endless , but most hackers are out to make a profit .","('O', 'B-THREAT_ACTOR')"
"Once proper prevention and detection plans are in place , organizations need to build an incident response plan .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-COURSE_OF_ACTION', 'I-COURSE_OF_ACTION', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'B-ATTACK_SOPHISTICATION_LEVEL', 'I-ATTACK_SOPHISTICATION_LEVEL')"
"The leaked tooling included a Python script , , that when executed led CrowdStrike researchers to replicate the logs generated in recent Play ransomware attacks .","('O', 'B-GENERAL_IDENTITY', 'B-INDICATOR', 'B-VULNERABILITY', 'I-VULNERABILITY', 'B-INTRUSION_SET', 'I-INTRUSION_SET', 'I-GENERAL_IDENTITY', 'B-IMPACT', 'I-IMPACT', 'B-ATTACK_TOOL', 'I-ATTACK_TOOL')"
"As we 've discussed recently , there has been huge growth in the ransomware and extortion space , potentially linked to the plethora of leaked builders and source code related to various ransomware cartels .","('O', 'B-ATTACK_PATTERN', 'B-THREAT_ACTOR', 'B-VULNERABILITY', 'I-VULNERABILITY', 'B-INTRUSION_SET', 'B-MALWARE', 'B-IMPACT', 'I-IMPACT')"
"The actors appear to target victims in Kuwait , as the ransom note demands payment in Kuwaiti dinar before translating that sum to its U.S. dollar equivalent in Bitcoin .","('O', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY', 'I-THREAT_ACTOR', 'B-ATTACK_MOTIVATION', 'I-ATTACK_MOTIVATION')"
"When leveraging GOGETTER , Sandworm utilized a Systemd service unit to maintain persistence on systems .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'I-INFRASTRUCTURE', 'B-THREAT_ACTOR', 'B-MALWARE')"
"There are also many examples of nation - state actors leveraging contractors to develop offensive capabilities , as shown most recently in contracts between Russia ’s Ministry of Defense and NTC Vulkan .","('O', 'B-THREAT_ACTOR', 'I-THREAT_ACTOR')"
"To defend against ransomware attacks , organizations must look inward , review their current security strategy and ensure no windows are left open to give cybercriminals an easy way in .","('O', 'B-ATTACK_PATTERN', 'I-COURSE_OF_ACTION', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY')"
The IRGC fires 16 surfacetosurface ballistic missiles at the close of five days of military drills that generals said were a warning to Israel .,"('O',)"
"Cl0p 's precipitous rise to the top of the charts this month , on the other hand , can be explained by their exploitation of a zero - day in MOVEit Transfer , a widely used file transfer software .","('O', 'B-GENERAL_TOOL', 'I-GENERAL_TOOL', 'B-THREAT_ACTOR', 'B-VULNERABILITY', 'I-VULNERABILITY')"
"COSMICENERGY also has notable technical similarities with other OT malware families that have been developed or packaged using Python or that have utilized open - source libraries for OT protocol implementation , including , , and .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-MALWARE', 'I-MALWARE', 'B-ATTACK_TOOL')"
The groups main goal is to conduct espionage and utilize the infected network to gain access to their clients networks .,"('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'I-COURSE_OF_ACTION', 'B-THREAT_ACTOR', 'B-ATTACK_MOTIVATION')"
"However , given the lack of conclusive evidence , we consider it also possible that a different actor - either with or without permission - reused code associated with the cyber range to develop this malware .","('O', 'B-THREAT_ACTOR', 'B-VULNERABILITY', 'I-VULNERABILITY')"
"To learn more about Vice Society attacks on education and how to protect against them , download the Malwarebytes Threat Intelligence Threat Brief : Vice Society .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-GENERAL_IDENTITY', 'B-GENERAL_TOOL', 'I-GENERAL_TOOL', 'B-THREAT_ACTOR', 'B-INTRUSION_SET', 'I-INTRUSION_SET', 'I-GENERAL_IDENTITY', 'B-CAMPAIGN')"
"For newer on - premises servers , Microsoft provided the same rule through the Exchange Emergency Mitigation Service,5 which installs it automatically .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN')"
"On October 10 , the actor leveraged an optical disc ( ISO ) image named “ a.iso ” to execute a native MicroSCADA binary in a likely attempt to execute malicious control commands to switch off substations .","('O', 'I-ATTACK_PATTERN', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR', 'B-MALWARE')"
"For newer on - premises servers , Microsoft provided the same rule through the Exchange Emergency Mitigation Service,5 which installs it automatically .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN')"
Our initial investigation on the domains registered by Hack520 revealed that similar domains ( listed below ) were registered by another profile .,"('O', 'B-THREAT_ACTOR', 'B-LOCATION')"
"In particular , we managed to gather details on an individual using the handle Hack520 , who we believe is connected to Winnti .","('O', 'B-THREAT_ACTOR', 'I-GENERAL_IDENTITY', 'I-THREAT_ACTOR')"
or an attacker may have installed malware on the systems that transfer sensitive user data to an external command and control server .,"('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-THREAT_ACTOR', 'I-THREAT_ACTOR', 'I-MALWARE')"
"Notably , the main function contains logic flaws that cause it to only be able to connect to an MSSQL server and upload ( LIGHTWORK ) to it , before immediately attempting to clean itself up .","('O', 'B-MALWARE_ANALYSIS', 'I-MALWARE_ANALYSIS')"
"Throughout its existence , KillNet ’s activities have primarily centered around DDoS attacks that generate only shallow impacts lasting short periods of time .","('O', 'B-INTRUSION_SET', 'I-INTRUSION_SET', 'B-IMPACT', 'I-IMPACT', 'B-CAMPAIGN', 'I-CAMPAIGN')"
CrowdStrike security researchers were working to develop proof - of - concept ( POC ) code for an exploit method indicative of the logging present after recent Play ransomware attacks .,"('O', 'B-GENERAL_IDENTITY', 'B-COURSE_OF_ACTION', 'I-COURSE_OF_ACTION', 'B-INTRUSION_SET', 'I-INTRUSION_SET', 'I-GENERAL_IDENTITY')"
"When deploying GOGETTER , Mandiant observed Sandworm leverage Systemd service units designed to masquerade as legitimate or seemingly legitimate services .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR')"
"After Kaspersky ’s reports of these attacks , the rest of 2013 saw reduced intensity of the campaign .","('O', 'B-GENERAL_IDENTITY', 'I-GENERAL_IDENTITY', 'B-CAMPAIGN', 'I-CAMPAIGN')"
Threat actors typically register and use several domains in order to discretely lead their malware to their Command and Control ( C&C ) servers .,"('O', 'B-ATTACK_PATTERN', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-THREAT_ACTOR', 'B-MALWARE', 'I-THREAT_ACTOR')"
"The program , No More Ransom , was conceived and supported by the National High Tech Crime Unit of the Netherlands police , Europols European Cybercrime Centre , Kaspersky , and McAfee and offers over 135 freely available decryption tools that can help with 165 variants of ransomware .","('O', 'B-GENERAL_IDENTITY', 'B-COURSE_OF_ACTION', 'I-COURSE_OF_ACTION', 'B-MALWARE', 'B-IMPACT', 'I-IMPACT')"
Sandworm deployed CADDYWIPER in this operation via two Group Policy Objects ( GPO ) from a Domain Controller using TANKTRAP .,"('O', 'B-THREAT_ACTOR', 'B-MALWARE', 'I-THREAT_ACTOR', 'B-CAMPAIGN', 'I-CAMPAIGN')"
"Agrius exploits publicly facing VPN services primarily ProtonVPN for initial access , deploying web shells to tunnel RDP traffic as well as leveraging compromised accounts and using a variety of publicly available tools for lateral movement and credential harvesting .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'I-COURSE_OF_ACTION', 'B-ATTACK_TOOL', 'I-ATTACK_TOOL')"
Denotes Vulnerable Software Are we missing a CPE here ?,"('O', 'B-OBSERVED_DATA', 'I-OBSERVED_DATA')"
Threat actors like the Winnti group rarely ever stay static in terms of both tools and tactics .,"('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-THREAT_ACTOR', 'I-THREAT_ACTOR', 'B-CAMPAIGN')"
This attack represents an immediate threat to Ukrainian critical infrastructure environments leveraging the MicroSCADA supervisory control system .,"('O', 'B-INFRASTRUCTURE')"
TLDR SentinelOne has recently released a report on an Iranianaligned threat actor targeting VMware Horizon Log4j vulnerabilities to deploy ransomware .,"('O', 'I-ATTACK_PATTERN', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR', 'B-VULNERABILITY', 'I-VULNERABILITY', 'B-VICTIM_IDENTITY', 'I-THREAT_ACTOR')"
"Within 24 hours of gaining initial access to systems in the victim environment , the threat actor deployed additional backdoors and established persistence via plists .","('O', 'B-ATTACK_PATTERN', 'I-ATTACK_PATTERN', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-THREAT_ACTOR', 'I-THREAT_ACTOR', 'B-ATTACK_TOOL')"
"Created between 2017 and 2019 , these fill a gap in the Dukes ’ activity , proving a continued , under the radar presence .","('O', 'B-THREAT_ACTOR', 'B-MALWARE', 'B-CAMPAIGN', 'I-CAMPAIGN')"
The threat actor downloaded and executed /usr / local / bin / com.docker.vmnat using the aforementioned Ruby script .,"('O', 'B-MALWARE_ANALYSIS', 'I-MALWARE_ANALYSIS', 'I-THREAT_ACTOR', 'B-ATTACK_TOOL', 'B-OBSERVED_DATA', 'I-OBSERVED_DATA', 'I-ATTACK_TOOL')"
"Roughly one month later , Sandworm deployed GOGETTER , which is a tunneler written in Golang that proxies communications for its command and control ( C2 ) server using the open - source library Yamux over TLS .","('O', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-THREAT_ACTOR', 'B-MALWARE_ANALYSIS', 'I-MALWARE_ANALYSIS', 'B-MALWARE', 'B-OBSERVED_DATA', 'I-OBSERVED_DATA', 'B-CAMPAIGN')"
"The US Justice Department thinks he 's been deploying LockBit ransomware on victim networks both in the States and overseas , with the investigation having run from August 2020 through March 2023 .","('O', 'B-GENERAL_IDENTITY', 'B-THREAT_ACTOR', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'B-MALWARE', 'I-GENERAL_IDENTITY', 'I-MALWARE', 'B-LOCATION')"
"STRATOFEAR ’s configuration file may include AES-128 - encrypted modules ; however , this was not the case in the discovered sample .","('O', 'I-INDICATOR', 'B-MALWARE_ANALYSIS', 'I-MALWARE_ANALYSIS', 'B-MALWARE', 'B-OBSERVED_DATA')"
"According to Hitachi Energy ’s documentation , SCIL is a high level programming language designed for MicroSCADA control systems and can operate the system and its features ( Figure 9 ) .","('O', 'B-GENERAL_IDENTITY', 'B-INFRASTRUCTURE', 'I-INFRASTRUCTURE', 'B-COURSE_OF_ACTION', 'I-COURSE_OF_ACTION')"
Technical Analysis : Sandworm Attack Against Ukrainian Substations,"('O', 'B-THREAT_ACTOR', 'B-MALWARE')"
"Apropos of my retrospective report , Bullock found that a great many messages in Biderman ’s inbox were belligerent and anti - Semitic screeds from a former Ashley Madison employee named William Brewster Harrison .","('O', 'B-GENERAL_IDENTITY', 'B-VICTIM_IDENTITY', 'I-VICTIM_IDENTITY', 'I-GENERAL_IDENTITY')"
